,ISO3,Country,CDD,Year_ref,Year_past,GDP_past,GDP,gdp_historical_growth,CDD_ssp1_rcp26_2100,CDD_ssp2_rcp45_2100,CDD_ssp5_rcp60_2100,exposure_times_cdd,income_group,gdp_const_ssp1_rcp26,gdp_const_ssp2_rcp45,gdp_const_ssp5_rcp60
39,COM,Comoros,2996.85716,2019,1990,2922.71225211885,3290.65052676586,0.004097102514684092,2580.0,2909.0,3119.0,2866.0287821278253,low,,-0.010338500117475169,0.006002345452754465
40,CRI,Costa Rica,1304.31538,2019,1990,9810.55130671056,20818.061678299,0.026282996861516583,2417.0,2878.0,3065.0,891.0715998182368,upper-middle,0.0074861902504888,0.00854432331927435,0.008870017246628503
41,CIV,Cote d'Ivoire,3121.59607,2019,1990,4351.47678203302,5132.34156942981,0.0057074923588851245,3554.0,4067.0,4280.0,2880.7053674827594,lower-middle,0.008845274234622114,0.013245730162489755,0.01443578891461561
42,HRV,Croatia,521.68235,2019,1995,15083.558943419,29347.5161917663,0.028121592509674054,772.0,1077.0,1117.0,331.201893779688,upper-middle,0.004848452594523378,0.00709549078893712,0.007285403135853352
43,CUB,Cuba,2940.76454,2019,1990,,,,3161.0,3534.0,3684.0,,,,,
44,CUW,Curacao/Netherlands Antilles,3232.31097,2019,2000,28613.9000650843,23659.2347332019,-0.009957414552160926,,,,1797.852671965909,upper-middle,,,
45,CYP,Cyprus,1570.97282,2019,1990,25232.609375,41739.46484375,0.017506995788090896,1660.0,1881.0,2007.0,583.6699125448478,high,0.00036272390058478265,0.0010911875652888092,0.0014247058850072047
46,CZE,Czech Republic,247.12542,2019,1990,23585.1814938054,40989.7266228223,0.019241495776139983,389.0,524.0,620.0,140.80664992924451,high,0.0043820336968471985,0.006009823400808356,0.006692858966013127
47,PRK,Democratic People's Republic of Korea,532.02947,2019,1990,,,,632.0,807.0,907.0,,,,,
48,COD,Democratic Republic of the Congo,2184.36589,2019,1990,1750.16973868902,1059.89211136718,-0.01714598327980532,2589.0,3266.0,3506.0,2163.957205410169,low,0.0280444610481716,0.03555062924927466,0.03691601645908271
49,DNK,Denmark,62.27477,2019,1990,39027.9787365148,56813.9641554635,0.013032584827722182,126.0,207.0,287.0,35.107474041665675,high,0.005693678512792122,0.007448024522616725,0.008152441036583857
50,DJI,Djibouti,3816.20573,2019,2013,3664.26803619943,4768.11300470727,0.04486428412866439,4081.0,4573.0,4828.0,3531.8422891963637,lower-middle,0.0057799547912400495,0.011045621133879857,0.012732026287302078
51,DMA,Dominica,2916.25068,2019,1990,7855.8210423106,12395.4204702077,0.015850945198033317,,,,2279.121944324051,middle,,,
52,DOM,Dominican Republic,2698.51589,2019,1990,6207.11211279231,18171.0609627655,0.037733617687016,2765.0,3118.0,3346.0,1817.2709333554365,upper-middle,0.0005018449312055306,0.002570195870122305,0.003547680548395382
53,ECU,Ecuador,1383.03963,2019,1990,8120.00116107894,11390.2169659569,0.011738169239754681,2776.0,2561.0,2608.0,1158.0311997441331,middle,0.013344046076135818,0.012637693103121794,0.012805033639461616
54,EGY,Egypt,2169.35584,2019,1990,6291.70540537498,11780.9620965028,0.021865014051010823,2193.0,2562.0,2847.0,1755.5642934862208,middle,0.00044619189228556344,0.005079438418579052,0.007144390284619995
55,SLV,El Salvador,3111.70808,2019,1990,5191.97145510929,9023.0265751173,0.019240212363084153,2927.0,3454.0,3534.0,2634.292468165868,lower-middle,-0.004187409400906561,0.0043573680338002685,0.005070513579201741
56,GNQ,Equatorial Guinea,2531.12831,2019,1990,936.419750712983,16240.3698101562,0.10338851798872883,2733.0,3212.0,3407.0,1809.6988063789947,middle,0.0017514126448490153,0.004461054447144175,0.005232664722211844
57,ERI,Eritrea,2530.40784,2019,1990,,,,2630.0,3205.0,3481.0,,,,,
58,EST,Estonia,59.12205,2019,1995,12730.7174142214,36153.4319482746,0.044449293580959504,171.0,278.0,331.0,43.17094905837892,upper-middle,0.011175556326574965,0.012719314932960968,0.013090537016882786
59,ETH,Ethiopia,988.72931,2019,1990,767.170418557348,2181.65887703263,0.03669630738675922,1146.0,1814.0,1982.0,970.173242469128,low,0.020526387393073886,0.03216584917085896,0.03321392285353775
60,FRO,Faeroe Islands,0.0,2019,1990,,,,,,,,,,,
61,FJI,Fiji,2627.50087,2019,1990,7889.87858590517,13241.3539504487,0.018014267380145776,2302.0,2662.0,2885.0,2025.0829483342195,middle,-0.006371425486239035,0.0004297676190243571,0.002667751770143667
62,FIN,Finland,47.37731,2019,1990,32939.3832880618,48583.4339897935,0.013490657869530631,119.0,189.0,241.0,30.75773831235342,high,0.008348744134713204,0.009874622864780802,0.010398850105697077
63,FRA,France,308.48687,2019,1990,33843.0203949502,45922.7947390313,0.010580715945510688,467.0,661.0,791.0,153.8949661854627,high,0.003306859784776295,0.004939588941673456,0.005548951154568771
64,PYF,French Polynesia,2827.62285,2019,1990,,,,1669.0,1944.0,2020.0,,,,,
65,GAB,Gabon,2767.9213,2019,1990,17559.0061141964,14478.0017220931,-0.006630904515670388,3216.0,3727.0,3928.0,2057.0480658631004,middle,0.0034885306273624295,0.005806898988346854,0.006471856819729727
66,GMB,Gambia,3237.72329,2019,1990,2080.15808488147,2083.3090583462,5.219549477319951e-05,3861.0,4258.0,4424.0,3156.9441275322756,low,0.019489007900158617,0.02306854958907234,0.02413344317898236
67,GEO,Georgia,436.60517,2019,1990,11135.4628892798,14989.2581602038,0.010300932762076664,523.0,877.0,1056.0,364.4230748223333,middle,0.006120365570816411,0.013214944482215163,0.014543844420570773
68,DEU,Germany,213.08829,2019,1990,36699.4817033163,53874.3166510099,0.01332563399251474,336.0,484.0,612.0,98.9342340532212,high,0.0031763179291572907,0.004653376934521614,0.0053155616565565555
69,GHA,Ghana,3433.25176,2019,1990,2299.63879373958,5345.94159228145,0.02951638162913528,3851.0,4333.0,4581.0,3147.0064402348266,lower-middle,0.007730648591853351,0.01182819933837731,0.013220038837047365
70,GRC,Greece,947.01236,2019,1990,24262.8425808592,29721.5857620428,0.00702203995147177,1045.0,1300.0,1376.0,546.3739808582959,upper-middle,0.0012962403244642928,0.0034589549871639758,0.003907305878690037
71,GRL,Greenland,0.00023,2019,1990,,,,0.0,,0.0,,,,,
72,GRD,Grenada,3171.355,2019,1990,8571.96740286013,15394.0304271941,0.020394229954595167,,,,2269.884706243524,middle,,,
73,GUM,Guam,3399.24969,2019,1990,,,,,,,,,,,
74,GTM,Guatemala,1350.35619,2019,1990,5561.07068412655,8673.00201631063,0.015443006355923883,1698.0,2273.0,2306.0,1192.9915366615664,lower-middle,0.009388091415273525,0.014375324547568846,0.014548407299954214
75,GIN,Guinea,3036.38941,2019,1990,1507.19852172471,2545.1402015108,0.01823084776178896,3232.0,3794.0,4036.0,2940.376188527085,low,0.01017144741756515,0.01931240304435944,0.02124956073756623
76,GNB,Guinea-Bissau,3557.95151,2019,1990,1998.17320635701,1890.53310322385,-0.0019076440552734386,3738.0,4156.0,4389.0,3477.3796213815313,low,0.01087913669344398,0.019319248319364046,0.021761909804951962
77,GUY,Guyana,3068.10472,2019,1990,4818.38799518684,12820.4897019679,0.034320829053880786,3569.0,4028.0,4367.0,2362.4399735003317,middle,0.00393912715802891,0.006063988427448264,0.007190459143264771
