"Model","Scenario","Region","Variable","Unit","2025","2030","2035","2040","2045","2050","2055","2060","2065","2070","2075","2080","2085","2090","2095","2100"
"IIASA GDP 2023","SSP1","Central African Republic","GDP|PPP","billion USD_2017/yr",5.0676651179145,6.59072269316517,10.8085707536553,17.6952956161589,28.4122587752601,43.7009366096032,64.800930591605,91.6011050055789,122.630866189332,155.971552111318,190.738192910157,226.532330348867,261.049083290658,292.732185187729,320.73713747268,345.607609199486
"IIASA GDP 2023","SSP1","Canada","GDP|PPP","billion USD_2017/yr",2019.170471196,2190.70371960244,2332.93301989276,2442.75613117182,2531.09506333519,2625.19076008673,2749.14823981047,2865.48498828594,3009.2667022367,3168.50442426572,3316.78265639986,3451.27869343348,3585.9833520282,3715.08714937892,3830.47756788759,3923.10488409314
"IIASA GDP 2023","SSP1","Switzerland","GDP|PPP","billion USD_2017/yr",650.854584532633,656.624077207522,704.780475786727,755.329471225401,803.469693584211,854.977307182808,910.018038576096,966.673327894237,1032.47136386322,1100.10177241444,1160.76500783248,1208.43218052109,1247.47189138502,1278.3019267222,1304.61702062415,1323.77103288586
"IIASA GDP 2023","SSP1","Chile","GDP|PPP","billion USD_2017/yr",505.883156545841,581.265828441837,664.729395574746,749.155942338726,826.042564286824,905.590945611415,974.798798337831,1027.2937603245,1069.58626045475,1104.23662657449,1126.2897626823,1131.0847734113,1124.32109620346,1112.84292555326,1112.50903506556,1113.89409895561
"IIASA GDP 2023","SSP1","China","GDP|PPP","billion USD_2017/yr",22283.426,22419.7781429605,25352.3073528102,28672.9110794322,32788.7446933983,37928.7491253179,41920.0800395236,44304.0661801371,47674.8287111975,50473.3463079274,51615.3461992745,51307.117426536,50054.3533743185,48547.4057178121,47669.5761485695,46022.9319797606
"IIASA GDP 2023","SSP1","C?te d'Ivoire","GDP|PPP","billion USD_2017/yr",188.857810972143,211.964889511161,271.384212866511,351.537629924465,460.590009053559,599.947537467538,778.097909882276,977.214799403218,1183.19793553131,1379.85281283539,1561.65801726351,1718.91568988598,1846.16300791138,1945.33003338134,2018.67126850927,2072.61808154418
"IIASA GDP 2023","SSP1","Cameroon","GDP|PPP","billion USD_2017/yr",118.784401667742,158.180393034139,230.697986458222,332.278948195847,466.680052341008,631.887701064848,832.901423353976,1051.15315009416,1279.70053269134,1497.53360981785,1692.94351869001,1859.6069347472,1992.88196210602,2092.72184941458,2165.70395535748,2216.23182916165
"IIASA GDP 2023","SSP1","Democratic Republic of the Congo","GDP|PPP","billion USD_2017/yr",136.66455079956,172.701177272349,279.807651628504,446.754074728246,696.909758184131,1057.88220365285,1562.47707748177,2225.00148506944,3049.36550405119,3993.42930153828,5012.11795467634,6053.27884562503,7065.32828907586,8001.90265456658,8838.1423502952,9566.23799223835
"IIASA GDP 2023","SSP1","Congo","GDP|PPP","billion USD_2017/yr",22.9554304483698,25.6762477283622,33.8903176396013,44.8667899006474,60.4243933359756,80.3725686565321,104.980301925455,132.647846525363,163.270392247544,194.264850711004,223.289221942408,248.739977184147,270.405694532541,288.415873124385,302.637323623245,313.386997686576
"IIASA GDP 2023","SSP1","Colombia","GDP|PPP","billion USD_2017/yr",868.618228589418,1054.79177148578,1282.18470903476,1537.20992455513,1790.84626084199,2034.29222988288,2253.1806229756,2442.93361465891,2618.43201743048,2764.83775177233,2892.43178259384,2983.28258565377,3027.22778207328,3022.88173071623,2992.25147572076,2941.16676872176
"IIASA GDP 2023","SSP1","Comoros","GDP|PPP","billion USD_2017/yr",3.01945633146699,4.23114990537112,6.26254734536405,9.04050510190449,12.5566207228474,16.7755352409336,21.6166240278935,26.6179408649945,31.5960716354724,36.1598073348299,40.1193750151781,43.3269001871788,45.8830487507496,47.8476151072966,49.3205943319514,50.3630388536788
"IIASA GDP 2023","SSP1","Cabo Verde","GDP|PPP","billion USD_2017/yr",5.04697165351149,5.49727743890216,6.76811117598405,8.3385301190701,10.3021553729226,12.490036897515001,14.9401635220418,17.4574303563487,20.0194968955648,22.5291357268374,24.8432476925575,26.7128776149554,27.9334322816005,28.5520821773913,28.7519845632701,28.7194250919785
"IIASA GDP 2023","SSP1","Costa Rica","GDP|PPP","billion USD_2017/yr",121.175875529843,128.952799233639,147.016788356594,167.996628946187,191.577920981171,216.269362945386,240.492268155096,262.897245267076,287.30543307536,308.121309263276,325.393901814416,335.860227628659,340.589311198884,340.553713674471,337.937217214393,334.581119595364
"IIASA GDP 2023","SSP1","Cyprus","GDP|PPP","billion USD_2017/yr",43.0416234629113,55.0958209309749,65.2235469351389,75.19990216847,82.9335599579066,89.7354578154338,95.8090242979594,101.838006252828,108.53383562821,113.767466590794,116.455236397719,117.523444271449,117.791671542145,119.121158815563,121.440071079248,123.947128572165
"IIASA GDP 2023","SSP1","Czechia","GDP|PPP","billion USD_2017/yr",462.081129318046,476.962670087671,487.446944439189,500.244941768754,519.141858971503,534.016097230515,552.608430191167,569.391217417165,594.637702226772,613.789578186924,621.336606516598,620.989220152,626.657688407514,638.183128067298,655.419556915754,676.054228764071
