,ISO3,CDD,Year_ref,Year_past,GDP_past,GDP,gdp_historical_growth,CDD_ssp1_rcp26_2100,CDD_ssp2_rcp45_2100,CDD_ssp5_rcp60_2100,Country,income_group,CDD_ssp1_rcp26_2100_diff,CDD_ssp2_rcp45_2100_diff,CDD_ssp5_rcp60_2100_diff,exposure_times_cdd,ac_adoption,gdp_const_ssp1_rcp26,gdp_const_ssp2_rcp45,gdp_const_ssp5_rcp60,gdp_const_ssp1_rcp26_custom_exp_cdd,gdp_const_ssp2_rcp45_custom_exp_cdd,gdp_const_ssp5_rcp60_custom_exp_cdd
23,KHM,2783.03943,2019,1993.0,1716.84095776483,4464.29444969141,0.03743862702703882,2857.0,3310.0,3559.5,Cambodia,lower middle,73.96057000000019,526.9605700000002,776.4605700000002,2634.4786397967823,0.05338077089450999,0.003467112798630989,0.01247988303690839,0.014799196045541141,0.03438507967527582,0.034247981227521596,0.034179147431814716
24,CMR,1591.17425,2019,1990.0,3483.1868621115,3756.50956165869,0.002608312242317501,1826.5,2404.5,2630.0,Cameroon,lower middle,235.32574999999997,813.32575,1038.82575,1524.7367438719887,0.04175375897894995,0.012941056935500406,0.02086427954415293,0.022298501354577116,0.03697694952904662,0.036747416062426375,0.03666738619351628
25,CAN,44.33516,2019,1990.0,34562.8663465938,49175.6770500696,0.012233509242049578,135.0,309.0,300.5,Canada,high,90.66484,264.66484,256.16484,25.720450573872178,0.4198633641138957,0.010131097897143837,0.0167847893039621,0.016492305738454283,,0.0026617790428260513,0.0024841106045763173
26,CAF,1909.3753,2019,1990.0,1200.61339024031,861.766788755873,-0.011369465805149415,1987.0,2665.5,2911.0,Central African Republic,low,77.62470000000008,756.1247000000001,1001.6247000000001,1898.4619707858585,0.005715654336861609,0.01890383345034352,0.03690557095846092,0.03883801002632992,0.0559289574312245,0.0556698381452474,0.055587662921154024
27,TCD,2666.53584,2019,1990.0,1027.24442257679,1561.99667256928,0.014556131166957309,3018.0,3502.5,3883.0,Chad,low,351.46416,835.96416,1216.46416,2632.2699029462133,0.012850356833676302,0.021217798781558495,0.027603033662774834,0.030157710517689562,0.047831634125495404,0.047689877938556835,0.047590098049085316
28,CHL,34.42837,2019,1990.0,9701.82379080639,24809.8609735994,0.03290663500243607,13.0,36.0,55.5,Chile,high,-21.42837,1.571629999999999,21.07163,24.7768662438974,0.2803357741334429,,0.001825666868185083,0.014068651821958822,,,
29,COL,828.4469,2019,1990.0,8434.95933574977,14616.1351241706,0.019137408971884096,1357.5,1581.5,1730.5,Colombia,upper middle,529.0531,753.0531,902.0531,637.0612038470281,0.23101745706691879,0.008990009378897268,0.010331174225080675,0.010974108000017191,0.01993050461753243,0.019833484472125962,0.019769164371510106
30,COM,1901.85718,2019,1990.0,2922.71225211885,3290.65052676586,0.004097102514684092,1483.5,1813.0,2023.5,Comoros,lower middle,-418.35717999999997,-88.85717999999997,121.64282000000003,1835.1381596831038,0.035080983482101535,,,0.009039849168076541,0.03882380411456876,0.03867918553210359,0.03859109469388522
31,CRI,524.37344,2019,1990.0,9810.55130671056,20818.061678299,0.026282996861516583,1402.5,1816.0,1989.5,Costa Rica,upper middle,878.12656,1291.6265600000002,1465.1265600000002,352.251885876616,0.3282423192970719,0.009758604646348923,0.01056775522993525,0.010782704674890065,0.015467404928015016,0.015289851864694226,0.015218613698547712
32,CIV,2026.59608,2019,1990.0,4351.47678203302,5132.34156942981,0.0057074923588851245,2459.0,2971.0,3185.0,Cote d'Ivoire,lower middle,432.40391999999997,944.40392,1158.40392,1897.3163325437936,0.06379157086705034,0.012046184221035539,0.01658918443041002,0.017725255661486194,0.03274104391656185,0.03256976129157563,0.03250505948685456
33,HRV,239.56662,2019,1995.0,15083.558943419,29347.5161917663,0.028121592509674054,428.5,679.5,704.0,Croatia,high,188.93338,439.93338,464.43338,140.5921108742388,0.41313981524538435,0.00678770188160871,0.008847420434792141,0.008941389555756185,0.010521719323774992,0.011263450452588586,0.011283437934854312
34,CYP,978.572,2019,1990.0,25232.609375,41739.46484375,0.017506995788090896,1074.5,1257.5,1349.5,Cyprus,high,95.928,278.928,370.928,324.15229870721157,0.6687496692045025,0.0005148447911591525,0.0012236544659853799,0.0014882723526863373,0.006909941420567778,0.006844021090060437,0.006806301212654908
35,CZE,80.94807,2019,1990.0,23585.1814938054,40989.7266228223,0.019241495776139983,180.5,270.0,332.0,Czechia,high,99.55193,189.05193,251.05193,45.42735124824023,0.4388087171412459,0.014339592147047941,0.013283391079810913,0.012403337654547375,,0.003956567545633893,0.0053314694264248175
36,COD,1165.82012,2019,1990.0,1750.16973868902,1059.89211136718,-0.01714598327980532,1560.5,2198.5,2428.5,DR Congo,low,394.6798799999999,1032.67988,1262.67988,1157.0234092478001,0.007545512897993101,0.033594908233790965,0.04002996708422013,0.041129846110864676,0.05342091134146232,0.05314884850798274,0.053060984586574156
37,DNK,7.75382,2019,1990.0,39027.9787365148,56813.9641554635,0.013032584827722182,37.0,75.5,109.5,Denmark,high,29.24618,67.74618,101.74618,5.67106857708492,0.26860972048810516,0.0021242728470665106,0.005153733362212032,0.0070316829676713155,,,
38,DJI,2721.336,2019,2013.0,3664.26803619943,4768.11300470727,0.04486428412866439,2985.0,3477.5,3732.0,Djibouti,lower middle,263.6640000000002,756.1640000000002,1010.6640000000002,2562.6910716696866,0.058296707326957464,0.008208573995549306,0.014113815153572684,0.01581482389735167,0.033504216727547886,0.03336100093955374,0.03329376612706603
39,DOM,1612.81714,2019,1990.0,6207.11211279231,18171.0609627655,0.037733617687016,1688.5,2030.5,2256.0,Dominican Republic,upper middle,75.68285999999989,417.6828599999999,643.1828599999999,1104.4766225370852,0.31518794341614875,0.0009510814607269769,0.003834292382604243,0.005031294946595821,0.017049962580199862,0.01690806489425123,0.016820854262568075
40,ECU,751.28046,2019,1990.0,8120.00116107894,11390.2169659569,0.011738169239754681,1784.0,2144.0,2102.5,Ecuador,upper middle,1032.71954,1392.71954,1351.21954,623.3719303885528,0.17025403483999457,0.014464923413842756,0.015446108733742747,0.015354377767955008,0.022890699636658463,0.02274404212202663,0.02276027353577481
41,EGY,1469.57011,2019,1990.0,6291.70540537498,11780.9620965028,0.021865014051010823,1470.0,1787.5,2023.5,Egypt,lower middle,0.42988999999988664,317.9298899999999,553.9298899999999,1197.2902491967975,0.18527857837500694,1.2517954701252165e-05,0.005760438356624764,0.007954986265988229,0.022600812306242224,0.022463351625818584,0.022365852073334302
42,SLV,2017.04721,2019,1990.0,5191.97145510929,9023.0265751173,0.019240212363084153,1832.5,2358.5,2439.0,El Salvador,lower middle,-184.54720999999995,341.45279000000005,421.95279000000005,1746.1679529569835,0.1342949514022611,,0.006331040599848681,0.007216078839308082,0.025816461978353633,0.02560871404424714,0.025579484065826108
43,GNQ,1436.13557,2019,1990.0,936.419750712983,16240.3698101562,0.10338851798872883,1637.5,2116.5,2311.0,Equatorial Guinea,upper middle,201.36443000000008,680.3644300000001,874.8644300000001,1043.3588846342625,0.27349554845002366,0.002895885636344575,0.006433775578070788,0.007281564508574867,0.0184833585481321,0.018285344172730644,0.018211465857826292
44,EST,10.37763,2019,1995.0,12730.7174142214,36153.4319482746,0.044449293580959504,57.0,119.5,130.0,Estonia,high,46.622370000000004,109.12237,119.62237,7.435756960963268,0.2834821668373928,0.009535889819769494,0.013209512917989441,0.01371852707164578,,,
45,ETH,427.92432,2019,1990.0,767.170418557348,2181.65887703263,0.03669630738675922,540.5,942.5,1059.0,Ethiopia,low,112.57567999999998,514.5756799999999,631.0756799999999,419.4738436337834,0.019747595477201618,0.02378407326228782,0.034242162165324386,0.035274611911183085,0.04399456401762536,0.044306948994811135,0.04427966375067682
46,FJI,1533.39035,2019,1990.0,7889.87858590517,13241.3539504487,0.018014267380145776,1217.0,1570.0,1789.5,Fiji,upper middle,-316.3903499999999,36.6096500000001,256.1096500000001,1204.0228966211127,0.21479687372421985,,0.0008068282039108698,0.0042113082471633145,0.021232892684004634,0.021082961640397135,0.02098844479088635
47,FIN,10.54024,2019,1990.0,32939.3832880618,48583.4339897935,0.013490657869530631,34.0,70.0,86.5,Finland,high,23.45976,59.45976,75.95976,7.400276334928611,0.2979024827775638,0.003712703146228513,0.00672486099650782,0.007763170202164105,,,
48,FRA,127.86422,2019,1990.0,33843.0203949502,45922.7947390313,0.010580715945510688,212.0,352.5,439.0,France,high,84.13578,224.63578,311.13578,62.836440407087935,0.508569008538214,0.006168302120502345,0.007859795218188692,0.007910216892285549,8.66255789639947e-05,0.004220698314234328,0.005019653109319844
49,GAB,1672.93976,2019,1990.0,17559.0061141964,14478.0017220931,-0.006630904515670388,2120.5,2631.5,2832.5,Gabon,upper middle,447.56024,958.56024,1159.56024,1269.4599805387054,0.24118010050839767,0.005146792898154118,0.0078114853791222405,0.008491914863151262,0.01972888284742602,0.01954309738352822,0.01947709215153748
50,GMB,2143.30082,2019,1990.0,2080.15808488147,2083.3090583462,5.219549477319951e-05,2765.0,3162.5,3328.5,Gambia,low,621.6991800000001,1019.1991800000001,1185.19918,2102.6857062871336,0.01894979619000292,0.02376583628196416,0.027103180915970748,0.02805585579601666,0.044194118109445624,0.04406869411035785,0.04402015730307007
51,GEO,183.4241,2019,1990.0,11135.4628892798,14989.2581602038,0.010300932762076664,244.5,503.5,661.5,Georgia,upper middle,61.07589999999999,320.0759,478.0759,144.76515636884042,0.21076261860442325,0.008099765075905374,0.015855206836839608,0.016975742746259348,0.015607667333453756,0.01932641400420776,0.01966861530995745
