ISO,NAME,data,rcp,regnum,ssp,stat,tslice,year,value
KHM,Cambodia,CDD,rcp26,88,SSP1,PopWeightAv,future,2020,2847.0
KOR,Republic of Korea,CDD,rcp26,89,SSP1,mean,future,2020,326.5
KOR,Republic of Korea,CDD,rcp26,89,SSP1,PopWeightAv,future,2020,395.0
KWT,Kuwait,CDD,rcp26,90,SSP1,mean,future,2020,2885.0
KWT,Kuwait,CDD,rcp26,90,SSP1,PopWeightAv,future,2020,2945.5
LAO,Lao People's Dem. Republic,CDD,rcp26,91,SSP1,mean,future,2020,1628.0
LAO,Lao People's Dem. Republic,CDD,rcp26,91,SSP1,PopWeightAv,future,2020,1843.5
LBN,Lebanon,CDD,rcp26,92,SSP1,mean,future,2020,485.0
LBN,Lebanon,CDD,rcp26,92,SSP1,PopWeightAv,future,2020,468.5
LBR,Liberia,CDD,rcp26,93,SSP1,mean,future,2020,1972.0
LBR,Liberia,CDD,rcp26,93,SSP1,PopWeightAv,future,2020,2012.0
LBY,Libyan Arab Jamahiriya,CDD,rcp26,94,SSP1,mean,future,2020,1748.0
LBY,Libyan Arab Jamahiriya,CDD,rcp26,94,SSP1,PopWeightAv,future,2020,1193.0
LCA,St. Lucia,CDD,rcp26,95,SSP1,mean,future,2020,
LCA,St. Lucia,CDD,rcp26,95,SSP1,PopWeightAv,future,2020,
LKA,Sri Lanka,CDD,rcp26,96,SSP1,mean,future,2020,2538.5
LKA,Sri Lanka,CDD,rcp26,96,SSP1,PopWeightAv,future,2020,2266.0
LSO,Lesotho,CDD,rcp26,97,SSP1,mean,future,2020,43.0
LSO,Lesotho,CDD,rcp26,97,SSP1,PopWeightAv,future,2020,57.5
LTU,Lithuania,CDD,rcp26,98,SSP1,mean,future,2020,74.5
LTU,Lithuania,CDD,rcp26,98,SSP1,PopWeightAv,future,2020,75.5
LUX,Luxembourg,CDD,rcp26,99,SSP1,mean,future,2020,88.0
LUX,Luxembourg,CDD,rcp26,99,SSP1,PopWeightAv,future,2020,88.0
LVA,Latvia,CDD,rcp26,100,SSP1,mean,future,2020,56.5
LVA,Latvia,CDD,rcp26,100,SSP1,PopWeightAv,future,2020,60.5
MAC,Macau,CDD,rcp26,101,SSP1,mean,future,2020,
MAC,Macau,CDD,rcp26,101,SSP1,PopWeightAv,future,2020,
MAR,Morocco,CDD,rcp26,102,SSP1,mean,future,2020,836.0
MAR,Morocco,CDD,rcp26,102,SSP1,PopWeightAv,future,2020,591.5
MDA,Republic of Moldova,CDD,rcp26,103,SSP1,mean,future,2020,256.5
MDA,Republic of Moldova,CDD,rcp26,103,SSP1,PopWeightAv,future,2020,254.5
MDG,Madagascar,CDD,rcp26,104,SSP1,mean,future,2020,1078.0
MDG,Madagascar,CDD,rcp26,104,SSP1,PopWeightAv,future,2020,727.0
MDV,Maldives,CDD,rcp26,105,SSP1,mean,future,2020,0.0
MDV,Maldives,CDD,rcp26,105,SSP1,PopWeightAv,future,2020,
MEX,Mexico,CDD,rcp26,106,SSP1,mean,future,2020,1097.0
MEX,Mexico,CDD,rcp26,106,SSP1,PopWeightAv,future,2020,772.0
MKD,TFYR Macedonia,CDD,rcp26,107,SSP1,mean,future,2020,226.0
MKD,TFYR Macedonia,CDD,rcp26,107,SSP1,PopWeightAv,future,2020,210.5
MLI,Mali,CDD,rcp26,108,SSP1,mean,future,2020,3376.0
MLI,Mali,CDD,rcp26,108,SSP1,PopWeightAv,future,2020,3161.5
MLT,Malta,CDD,rcp26,109,SSP1,mean,future,2020,
MLT,Malta,CDD,rcp26,109,SSP1,PopWeightAv,future,2020,
MMR,Myanmar,CDD,rcp26,110,SSP1,mean,future,2020,1528.0
MMR,Myanmar,CDD,rcp26,110,SSP1,PopWeightAv,future,2020,2189.0
MNE,Montenegro,CDD,rcp26,111,SSP1,mean,future,2020,122.5
MNE,Montenegro,CDD,rcp26,111,SSP1,PopWeightAv,future,2020,121.0
MNG,Mongolia,CDD,rcp26,112,SSP1,mean,future,2020,94.0
MNG,Mongolia,CDD,rcp26,112,SSP1,PopWeightAv,future,2020,55.0
